id,race_id,bet_type,combination,payout
320995,202607010307,単勝,16,16000
321005,202607010308,単勝,13,13000
321015,202607010309,単勝,10,10000
321025,202607010310,単勝,16,16000
321034,202607010311,単勝,17,17000
321044,202607010312,単勝,14,14000
321054,202609010901,単勝,10,10000
321064,202609010902,単勝,13,13000
321074,202609010903,単勝,10,10000
321084,202609010904,単勝,15,15000
321094,202609010905,単勝,18,18000
321104,202609010906,単勝,16,16000
321114,202609010907,単勝,11,11000
321124,202609010908,単勝,12,12000
321134,202609010909,単勝,8,8000
321143,202609010910,単勝,16,16000
321154,202609010911,単勝,12,12000
321164,202609010912,単勝,15,15000
321174,202606020801,単勝,16,16000
321184,202606020802,単勝,15,15000
321194,202606020803,単勝,14,14000
321204,202606020804,単勝,14,14000
321214,202606020805,単勝,16,16000
321224,202606020806,単勝,18,18000
321234,202606020807,単勝,8,8000
321243,202606020808,単勝,16,15000
321255,202606020809,単勝,16,16000
321265,202606020810,単勝,9,9000
321275,202606020811,単勝,16,16000
321284,202606020812,単勝,16,16000
321294,202607010401,単勝,14,14000
321304,202607010402,単勝,16,16000
321314,202607010403,単勝,15,15000
321323,202607010404,単勝,15,15000
321333,202607010405,単勝,16,16000
321342,202607010406,単勝,17,17000
321351,202607010407,単勝,15,15000
321360,202607010408,単勝,18,18000
321370,202607010409,単勝,10,10000
321380,202607010410,単勝,16,16000
321390,202607010411,単勝,18,18000
321400,202607010412,単勝,16,16000
321410,202609011001,単勝,14,14000
321420,202609011002,単勝,13,13000
321430,202609011003,単勝,13,13000
321440,202609011004,単勝,17,17000
321450,202609011005,単勝,11,11000
321460,202609011006,単勝,13,13000
321470,202609011007,単勝,11,10000
321481,202609011008,単勝,10,10000
321491,202609011009,単勝,8,8000
321500,202609011010,単勝,16,16000
321510,202609011011,単勝,10,10000
321520,202609011012,単勝,13,12000
321531,202606030101,単勝,16,16000
321541,202606030102,単勝,16,16000
321551,202606030103,単勝,16,16000
321561,202606030104,単勝,16,16000
321571,202606030105,単勝,16,16000
321580,202606030106,単勝,11,11000
321590,202606030107,単勝,13,13000
321600,202606030108,単勝,12,12000
321610,202606030109,単勝,16,16000
321620,202606030110,単勝,10,10000
321630,202606030111,単勝,15,15000
321638,202606030112,単勝,16,16000
321648,202607010501,単勝,16,16000
321658,202607010502,単勝,13,13000
321668,202607010503,単勝,16,16000
321678,202607010504,単勝,14,14000
321688,202607010505,単勝,15,15000
321698,202607010506,単勝,16,16000
321708,202607010507,単勝,16,15000
321720,202607010508,単勝,15,14000
321731,202607010509,単勝,9,9000
321741,202607010510,単勝,12,12000
321751,202607010511,単勝,16,16000
321761,202607010512,単勝,16,16000
321771,202609020101,単勝,16,16000
321781,202609020102,単勝,11,11000
321791,202609020103,単勝,16,16000
321801,202609020104,単勝,13,13000
321811,202609020105,単勝,18,18000
321821,202609020106,単勝,11,11000
321831,202609020107,単勝,12,12000
321841,202609020108,単勝,11,11000
321851,202609020109,単勝,7,7000
321859,202609020110,単勝,11,11000
321869,202609020111,単勝,7,7000
321877,202609020112,単勝,14,14000
321887,202606030201,単勝,16,16000
321897,202606030202,単勝,16,16000
321908,202606030203,単勝,15,15000
321918,202606030204,単勝,16,16000
321928,202606030205,単勝,13,13000
321938,202606030206,単勝,13,13000
321948,202606030207,単勝,15,15000
321958,202606030208,単勝,16,16000
321968,202606030209,単勝,7,7000
321976,202606030210,単勝,15,15000
321986,202606030211,単勝,16,15000
321997,202606030212,単勝,11,11000
322006,202607010601,単勝,16,16000
322015,202607010602,単勝,14,14000
322024,202607010603,単勝,15,15000
322034,202607010604,単勝,18,17000
322044,202607010605,単勝,16,16000
322054,202607010606,単勝,13,13000
322064,202607010607,単勝,13,13000
322074,202607010608,単勝,7,7000
322082,202607010609,単勝,16,15000
322093,202607010610,単勝,15,15000
322103,202607010611,単勝,18,18000
322113,202607010612,単勝,16,16000
322123,202609020201,単勝,14,14000
322132,202609020202,単勝,9,9000
322142,202609020203,単勝,16,16000
322152,202609020204,単勝,14,14000
322162,202609020205,単勝,12,12000
322172,202609020206,単勝,10,10000
322182,202609020207,単勝,14,14000
322192,202609020208,単勝,7,7000
322200,202609020209,単勝,15,15000
322210,202609020210,単勝,11,11000
322220,202609020211,単勝,13,13000
322230,202609020212,単勝,16,16000
325209,202606030301,単勝,16,16000
325219,202606030302,単勝,14,14000
325229,202606030303,単勝,16,16000
325239,202606030304,単勝,14,14000
325249,202606030305,単勝,16,16000
325258,202606030306,単勝,13,13000
325268,202606030307,単勝,12,12000
325277,202606030308,単勝,11,11000
325287,202606030309,単勝,13,12000
325299,202606030310,単勝,15,15000
325309,202606030311,単勝,16,15000
325320,202606030312,単勝,16,16000
325330,202609020301,単勝,16,16000
325340,202609020302,単勝,16,16000
325350,202609020303,単勝,14,14000
325359,202609020304,単勝,18,18000
325369,202609020305,単勝,18,18000
325379,202609020306,単勝,16,16000
325389,202609020307,単勝,9,9000
325398,202609020308,単勝,9,9000
325408,202609020309,単勝,9,9000
325418,202609020310,単勝,16,16000
325427,202609020311,単勝,14,14000
325438,202609020312,単勝,15,15000
325687,202606030401,単勝,16,16000
325697,202606030402,単勝,16,16000
325707,202606030403,単勝,16,16000
325717,202606030404,単勝,14,13000
325728,202606030405,単勝,16,16000
325738,202606030406,単勝,16,16000
325747,202606030407,単勝,14,14000
325757,202606030408,単勝,16,16000
325767,202606030409,単勝,8,8000
325776,202606030410,単勝,16,16000
325785,202606030411,単勝,16,16000
325795,202606030412,単勝,12,12000
325804,202609020401,単勝,15,15000
325814,202609020402,単勝,13,12000
325825,202609020403,単勝,16,16000
325835,202609020404,単勝,15,15000
325845,202609020405,単勝,13,13000
325855,202609020406,単勝,9,9000
325865,202609020407,単勝,15,15000
325875,202609020408,単勝,11,11000
325885,202609020409,単勝,12,12000
325895,202609020410,単勝,18,18000
325905,202609020411,単勝,15,15000
325915,202609020412,単勝,16,16000
326163,202603010101,単勝,15,15000
326173,202603010102,単勝,16,16000
326183,202603010103,単勝,16,16000
326193,202603010104,単勝,16,16000
326203,202603010105,単勝,16,16000
326213,202603010106,単勝,15,15000
326223,202603010107,単勝,15,15000
326233,202603010108,単勝,16,16000
326243,202603010109,単勝,16,16000
326264,202603010111,単勝,15,15000
326274,202603010112,単勝,16,16000
326283,202606030501,単勝,16,16000
326293,202606030502,単勝,16,16000
326303,202606030503,単勝,13,13000
326313,202606030504,単勝,14,14000
326323,202606030505,単勝,16,15000
326335,202606030506,単勝,18,18000
326345,202606030507,単勝,16,16000
326355,202606030508,単勝,16,16000
326365,202606030509,単勝,7,7000
326373,202606030510,単勝,13,13000
326383,202606030511,単勝,15,15000
326393,202606030512,単勝,16,16000
326403,202609020501,単勝,16,16000
326413,202609020502,単勝,16,16000
326423,202609020503,単勝,13,13000
326433,202609020504,単勝,16,15000
326443,202609020505,単勝,12,12000
326453,202609020506,単勝,15,15000
326463,202609020507,単勝,11,11000
326473,202609020508,単勝,16,16000
326483,202609020509,単勝,8,8000
326492,202609020510,単勝,13,13000
326502,202609020511,単勝,10,10000
326512,202609020512,単勝,16,16000
326881,202603010201,単勝,15,15000
326891,202603010202,単勝,16,16000
326901,202603010203,単勝,15,15000
326911,202603010204,単勝,16,16000
326921,202603010205,単勝,16,16000
326931,202603010206,単勝,15,15000
326941,202603010207,単勝,15,15000
326951,202603010208,単勝,16,16000
326961,202603010209,単勝,13,13000
326971,202603010210,単勝,16,16000
326981,202603010211,単勝,15,15000
326991,202603010212,単勝,15,15000
327001,202606030601,単勝,15,15000
327011,202606030602,単勝,15,14000
327023,202606030603,単勝,14,14000
327033,202606030604,単勝,14,14000
327043,202606030605,単勝,18,18000
327053,202606030606,単勝,11,11000
327063,202606030607,単勝,15,15000
327093,202606030610,単勝,12,12000
