id,race_id,bet_type,combination,payout,popularity
589771,202504010808,単勝,16,16000,
589787,202504010810,単勝,15,15000,
589795,202504010811,単勝,16,16000,
589803,202504010812,単勝,15,15000,
589811,202505021001,単勝,16,16000,
589819,202505021002,単勝,16,16000,
589828,202505021003,単勝,16,16000,
589836,202505021004,単勝,18,18000,
589846,202505021005,単勝,17,17000,
589854,202505021006,単勝,9,9000,
589862,202505021007,単勝,8,8000,
589869,202505021008,単勝,16,16000,
589879,202505021009,単勝,9,9000,
589887,202505021010,単勝,9,9000,
589894,202505021011,単勝,18,18000,
589902,202505021012,単勝,16,16000,
589911,202508021001,単勝,16,16000,
589919,202508021002,単勝,16,16000,
589927,202508021003,単勝,14,14000,
589936,202508021004,単勝,18,18000,
589944,202508021005,単勝,14,14000,
589952,202508021006,単勝,13,13000,
589960,202508021007,単勝,16,16000,
589968,202508021008,単勝,7,7000,
589975,202508021009,単勝,18,18000,
589984,202508021010,単勝,16,16000,
589992,202508021011,単勝,17,17000,
590002,202508021012,単勝,9,9000,
590010,202505021101,単勝,16,16000,
590018,202505021102,単勝,16,16000,
590035,202505021104,単勝,14,14000,
590043,202505021105,単勝,16,16000,
590051,202505021106,単勝,10,10000,
590059,202505021107,単勝,11,11000,
590067,202505021108,単勝,16,16000,
590076,202505021110,単勝,16,16000,
590085,202505021111,単勝,16,16000,
590093,202505021112,単勝,15,15000,
590103,202508021101,単勝,16,16000,
590111,202508021102,単勝,16,16000,
590119,202508021103,単勝,15,15000,
590138,202508021105,単勝,18,18000,
590147,202508021106,単勝,16,16000,
590155,202508021107,単勝,6,6000,
590171,202508021109,単勝,9,9000,
590180,202508021110,単勝,16,16000,
590188,202508021111,単勝,16,16000,
590198,202508021112,単勝,13,13000,
590205,202505021201,単勝,16,16000,
590222,202505021203,単勝,16,16000,
590240,202505021205,単勝,11,11000,
590248,202505021206,単勝,16,16000,
590256,202505021207,単勝,16,16000,
590272,202505021209,単勝,16,16000,
590279,202505021210,単勝,18,18000,
590287,202505021211,単勝,18,18000,
590295,202505021212,単勝,18,18000,
590321,202508021203,単勝,18,18000,
590329,202508021204,単勝,12,12000,
590337,202508021205,単勝,13,13000,
590345,202508021206,単勝,14,14000,
590352,202508021207,単勝,12,12000,
590360,202508021208,単勝,16,16000,
590367,202508021209,単勝,14,14000,
590374,202508021210,単勝,16,16000,
590383,202508021211,単勝,11,11000,
590391,202508021212,単勝,14,14000,
590415,202505030103,単勝,16,16000,
590423,202505030104,単勝,14,14000,
590440,202505030106,単勝,16,16000,
590449,202505030107,単勝,18,18000,
590457,202505030108,単勝,16,16000,
590466,202505030109,単勝,12,12000,
590474,202505030110,単勝,15,15000,
590484,202505030111,単勝,16,16000,
590500,202509030101,単勝,15,15000,
590508,202509030102,単勝,16,16000,
590516,202509030103,単勝,16,16000,
590524,202509030104,単勝,16,16000,
590532,202509030105,単勝,8,8000,
590539,202509030106,単勝,13,13000,
590547,202509030107,単勝,10,10000,
590555,202509030108,単勝,9,9000,
590564,202509030109,単勝,10,10000,
590572,202509030110,単勝,9,9000,
590579,202509030111,単勝,15,15000,
590587,202509030112,単勝,16,16000,
590595,202505030201,単勝,16,16000,
590603,202505030202,単勝,16,16000,
590619,202505030204,単勝,16,16000,
590636,202505030206,単勝,17,17000,
590643,202505030207,単勝,16,16000,
590651,202505030208,単勝,18,18000,
590659,202505030209,単勝,12,12000,
590667,202505030210,単勝,16,16000,
590675,202505030211,単勝,18,18000,
590683,202505030212,単勝,14,14000,
590692,202509030201,単勝,11,11000,
590700,202509030202,単勝,14,14000,
590708,202509030203,単勝,16,16000,
590716,202509030204,単勝,15,15000,
590724,202509030205,単勝,11,11000,
590732,202509030206,単勝,18,18000,
590740,202509030207,単勝,18,18000,
590764,202509030210,単勝,16,16000,
590773,202509030211,単勝,16,16000,
590790,202502010101,単勝,16,16000,
590798,202502010102,単勝,14,14000,
590806,202502010103,単勝,12,12000,
590814,202502010104,単勝,15,15000,
590822,202502010105,単勝,12,12000,
590830,202502010106,単勝,14,14000,
590838,202502010107,単勝,14,14000,
590846,202502010108,単勝,12,12000,
590864,202502010110,単勝,16,16000,
